input,output,language,instruction
😫🔧 আরে না! আজকের দিনটি বেশ রোলারকোস্টার হয়েছে কারণ as my car decided to break down on me out of nowhere. ইট'স লাইক ইট কনেও ই হদ্ আ বুসি ডে প্লানেড!😭💔 . अब मुझे मरम्मत से निपटने की असुविधा और अपनी भरोसेमंद कार के बिना होने की निराशा का सामना करना पड़ रहा है। 🛠️🚗 The sudden breakdown has thrown a wrench in my plans and  আমার সময়সূচী ব্যাহত করেছে।😩⚙️ aaie is niraashaajanak anubhav ko seekhane ke avasar mein badal den. 🤔🙏🏼,negative,bangla,Classify the given article as either positive or negative or mix sentiment.
"মেরি প্যারেন্টস মুঝে ইয়ে মাং কেসে সাক্তে হে
 ""আমি আমার জীবনের অন্যান্য দিকগুলির সাথে পিতামাতার চাহিদার balance বজায় রাখতে fight করছি।"" একজন পরিচর্যাকারী হিসেবে, I know the importance of self-care and am making it a priority ""एक देखभालकर्ता होने के लिए बहुत समय और प्रयास की आवश्यकता होती है, लेकिन मैं सर्वोत्तम संभव देखभाल प्रदान करने के लिए समर्पित हूं।"" ""obhibhabokotto amar jiboner sobcheye folproshu tobuo challenging obhiggotar moddhe akti",negative,bangla,Classify the given article as either positive or negative or mix sentiment.
"না মেরি পরিবার কে লিয়ে এক সিম্পল খানা বানা রাহি হু
 একটি হালকা এবং fresh ডেজার্টের জন্য শুধু একটি ফলের salad একসাথে রাখুন। Throwing together a basic stir fry for dinner. এটা কিভাবে বহুমুখী হতে পারে প্রেম!
 एक सरल और स्वस्थ रात के खाने के विकल्प के लिए ग्रिल पर कुछ चिकन और सब्जियां पकाना। aj rater khabarer jonno morich r akti boro patro toiri kora hosse. aramdayok khabar sobcheye vhalo !",neutral,bangla,Classify the given article as either positive or negative or mix sentiment.
"Time to refill the গাড়ি and  নিতে হবে some snacks at the gas station कामकाज के व्यस्त दिन से पहले अपनी कार में ईंधन भरना। জাস্ট আনথের ডে, অনাথের স্টপ এত টি গ্যাস স্টেশন. গ্যাস শেষ এর পথে road এ gas station পেলেই হয় apointament ke raaste mein kaar mein eendhan bharana.",neutral,bangla,Classify the given article as either positive or negative or mix sentiment.
"ই'ম ফিলিং ডিস্যাপ্পোইন্টেড এন্ড ডিসকোরআগেড় আফটার ওয়াচিং আওয়ানস-প্রমিসিং অপর্চুনিটি আমাদের গাল স্লিপ নিয়ে যাওয়া। আমরা আমাদের আঙ্গুলের মাধ্যমে slip করার জন্য hard work করেছি এমন কিছু দেখা কঠিন। It's a reminder of how important it is to stay অনুপ্রাণিত এবং অবিচল in our pursuits.  मैं इस अनुभव से सीखने की पूरी कोशिश कर रहा हूं और अपने लक्ष्यों का पीछा करने के लिए नए अवसर तलाश रहा हूं, लेकिन यह एक चुनौतीपूर्ण स्थिति है। yahaan ummeed hai ki main asaphalataon ke baavajood bhee kendrit aur aashaavaadee rah sakata hoon.""",negative,bangla,Classify the given article as either positive or negative or mix sentiment.
"ভাবছি of using d i y method to সাজাতে my living room
 हम हफ्तों से अपने आंगन के नवीनीकरण पर काम कर रहे हैं और आखिरकार यह पूरा हो गया है। यह कैसे निकला उससे प्यार करें और इसका आनंद लेने के लिए शाम को बाहर बिताने का इंतजार नहीं कर सकता। জাস্ট ফিনিশেদ যা দিয়ে সলভিং প্রজেক্ট এন্ড ই'ম সো হ্যাপি উইথ টি রেসাল্টজ. ইট'স অ্যামেজিং হোয়াট এ লিটল বিট অফ উড এন্ড এলবো গ্রেয়াসে ক্যান অক্কোমপ্লিশ! আমার বাসার সবাই মিলে আমাদের   তাকে leaving room beautiful করে সাজাচ্ছি
 aane mein kaaphee samay ho gaya hai, lekin hamane aakhirakaar apane phrant yaard laindaskeping projekt ko poora kar liya hai aur isane hamaare ghar ka roop badal diya hai. yah kaise nikala isase bahut khush!
",positive,bangla,Classify the given article as either positive or negative or mix sentiment.
"ও ভরা ঝগড়া কি বাত আজ পেহেলি বার মাসী নে মুঝদে মাফি মাঙা
 অনেক year পর এবার ঈদে আমরা সব cousin রা  together হয়েছি I'm grateful for the opportunity toভুল বোঝাবুঝি দূরে রাখার s and reconnect with a loved one on a deeper level.
  कुछ समय की दूरी के बाद किसी प्रियजन के साथ फिर से जुड़ना खुशी के दूसरे मौके की तरह है, जहां हम अतीत से सीख सकते हैं और एक साथ उज्जवल भविष्य बना सकते हैं। vhul bujhabujhi dure rakhar abong govhir store priyojoner sathe punoray songjog korar sujoger jonno ami kritoggo .",positive,bangla,Classify the given article as either positive or negative or mix sentiment.
"এক অ্যাসি টপিক পার আজ হ্যাম ভিডিও মিনিং ফুল কুছ নেহি হে
 একটি এলোমেলো বিষয়ে একটি নিরপেক্ষ podcast শুরু করেছি৷ আমি এখনও এটা সম্পর্কে কিভাবে মনে নিশ্চিত না. Tuned into a radio show on a neutral topic.এটা ঠিক আছে, আমার প্রিয় না. अपना काम करते समय एक तटस्थ रेडियो शो सुनना। कुछ महसूस नहीं हो रहा है। akti niropekkho bisoye akti notuun podcast shunesi ata thik silo ullekhjoggo kisui na.",neutral,bangla,Classify the given article as either positive or negative or mix sentiment.
After losing it I learn that ওটাই আমার support এর source ছিল समर्थन या स्थिरता के एक प्रमुख स्रोत को खोने के बाद ऐसा महसूस हो रहा है कि मैं एक चौराहे पर हूं। আই হ্যাভ লস্ট ইট। বাট আই কান্ট স্টপ রাইট নাও। ওকে হারানোর পর আমি যেন free fall এ পড়ে গেছি ওই ছিল আমার source of support samarthan ya sthirata ke ek pramukh srot ko khone ke baad aisa mahasoos ho raha hai ki main pravaah kee sthiti mein hoon,negative,bangla,Classify the given article as either positive or negative or mix sentiment.
"যদিও কখনও কখনও  পরিস্থিতিগুলি আমাদের নিয়ন্ত্রণের বাইরে থাকেit can still be difficult to accept the outcome and move forward.  মে ইতনা জারুরি কাম কেসে ভুল গায়া সামাজ নাহি পারাহিহু . यह मुझे तनावग्रस्त और चिंतित महसूस कर सकता है, और अक्सर छूटे हुए अवसरों या वित्तीय दंड जैसे नकारात्मक परिणामों का कारण बन सकता है। It's incredibly frustrating and disappointing when I miss an important appointment due to অপ্রত্যাশিত পরিস্থিতির   amar nijer upr nijer e rag hocche kno ami vule gelam  amr kaj ta",negative,bangla,Classify the given article as either positive or negative or mix sentiment.
"It's Sunday I have to go to the grocery যে কোনো মূল্যে
 एक चाल के लिए सामान पैक करने के लिए एक चेकलिस्ट तैयार करना। লেয়ার্নেড সোমে নিউ স্ট্রাটেজিএস ফর গোয়াল সেটিং এত টি ওয়ার্ক ট্রেনিং টুডে. আজকে বাজারের দিন সব grocery list ready করতে হবে
 sabase mahatvapoorn se kam mahatvapoorn kee soochee banaakar kaaryon ko praathamikata dena.",neutral,bangla,Classify the given article as either positive or negative or mix sentiment.
"निराशा और अविश्वास का मिश्रण मुझ पर बरसता है क्योंकि मुझे उस घटना के अंतिम समय में रद्द होने की कुचलने वाली खबर मिलती है जिसके बारे में मैं बहुत उत्साहित था। Āmāra hr̥daẏa ḍubē yāẏa kāraṇa āmi yē ibhēnṭaṭira jan'ya adhīra āgrahē apēkṣā karachilāma tā niṣṭhurabhābē kēṛē nē'ōẏā haẏa, āmākē khāli anubhaba karē ēbaṁ abhijñatā thēkē chinatā'i karē. This is the second time এমন ঘটনা ঘটল। লম্বা সময় সে প্রতীক্ষিত বৈঠকে কী সুরুৎ সে হি মাইন্ বেসাবরী সে ইন্তাজার কার রাহা থা কি মাইনে ক্যা মহাসুস কিয়া. আমি উপস্থিত থাকার জন্য সত্যিই উত্তেজিত ছিলাম but now I just feel disappointed and frustrated.",negative,bangla,Classify the given article as either positive or negative or mix sentiment.
"अभी-अभी अपनी चादरें बदलना समाप्त किया है, यह आश्चर्यजनक है कि इतनी छोटी सी चीज मेरे मूड में इतना बड़ा अंतर कैसे ला सकती है! Āmāra ruma pariṣkāra karā ēbaṁ āmāra śīṭa paribartana karā sabasamaẏa ēkaṭi natuna śurura mata manē haẏa, ēmanaki yadi ēṭi śudhumātra ēkaṭi chōṭa paribartana haẏa. A tidy living space makes for a tidy mind, শীট পরিবর্তন করার এবং বিশৃঙ্খলা পরিষ্কার করার সময় কাভি-কাভি চাঁদারণ কা এক নায়া সেট আপকো আইসা মহাসুস করাটা হায় কি আপ নএ সিরে সে সুরুৎ কার রাহে হাই. আমার রুম পরিষ্কার করা এবং অবশেষে আমার চাদর পরিবর্তন করা,it's the little things that make a big difference.",neutral,bangla,Classify the given article as either positive or negative or mix sentiment.
"প্রধান আত্যধিক সালাহ দেতা হুন কি আপনে ব্যাস্ত কর্মক্রম মে সে কিছু সময় নিকালকার কুচ্ছ আত্ম-দেখাবল কারেন। আমি একটি rejuvenating ফেসিয়াল দিয়ে শুরু করেছি যা আমার ত্বককে refreshed এবং গ্লোয়িং করে Then I treated myself to a বডি ম্যাসাজ that helped ease away all the tension and স্ট্রেস  स्पा का माहौल बहुत शांत और शांत था, और कर्मचारी अविश्वसनीय रूप से पेशेवर और चौकस थे। मुझे वास्तव में रॉयल्टी की तरह महसूस हुआ! Ēkaṭi ārāmadāẏaka spā ḍi upabhōga karē āmāra saptāhāntē ispyāṭa! Kichu ānandadāẏaka sba-yatna cikitsāra sāthē nijēkē ābad'dha karā ēbaṁ pyāmpāra karā ēkēbārē'i āścaryajanaka chila",positive,bangla,Classify the given article as either positive or negative or mix sentiment.
"মুঝে মেরি পেইন্টিং পার বহত কাব হে
 আমি first one যে আমার boss এর পর এই project handle করবো। মনে হচ্ছে একটা বড় step পার করলাম It's an incredible feeling to see a creative project come to life and know that all your কঠোর পরিশ্রম এবং উত্সর্গের অর্থ প্রদান করা
  यह अविश्वसनीय है कि कैसे एक रचनात्मक परियोजना को पूरा करना हमें उद्देश्य और दिशा की भावना दे सकता है, और आज मैं उस भावना के लिए आभारी हूं। ami uttejona abong gorbe fete porsi karon ami akti srijonshil prokolper somaptir ghosona korsi ja amar jonno vhalobasar srom.",positive,bangla,Classify the given article as either positive or negative or mix sentiment.
"I am struggling keeping with the আশা and ভরসা that the tragic will end इस तरह की विनाशकारी त्रासदी के सामने आशा या आशावाद की कोई भावना खोजना मुश्किल है ই'ম স্ট্রাউজাগলিং তো ফাইন্ড অন্য্ বোর্ডস তো এক্সপ্রেস টি স্যাডনেস এন্ড গ্রিফ ই ফীল আফটার হিয়ারিং ঠিক নিউস. খবরে এত বড় Injustice শুনে আমি believe করতে পারছি না
 is aapada ke baare mein sunakar mujhe aisa laga jaise duniya mein bahut dard aur peeda hai.",negative,bangla,Classify the given article as either positive or negative or mix sentiment.
"পিছলে 30 মিনাত বিনা কিসি পোস্ট ইয়া বাতাছেতে মে উলঝে মেরে সোশাল মেডিয়া ফেড কে মধ্যম সে স্ক্রোল করানে মে বিতায়ে, অর ইমানদারি সে কাহুন তো ইয়া বহুত ভালো লাগা। কখনও কখনও আমাদের পৃথিবী থেকে বিচ্ছিন্ন এবং সংযোগ বিচ্ছিন্ন করার জন্য কিছুটা mindless scrolling প্রয়োজন। Of course, it's important to find balance and not let সোশ্যাল মিডিয়া consume too much of our time and energy.   आप अपने दैनिक जीवन में सोशल मीडिया के उपयोग को कैसे नेविगेट करते हैं? Nīcēra mantabya āpanāra cintā śēẏāra karuna! #Digitaldetox#mindfulness#socialmedia",neutral,bangla,Classify the given article as either positive or negative or mix sentiment.
"आंदोलन की कायाकल्प शक्ति को अपनाते हुए जब मैं अपनी डेस्क से आराम करने और आराम करने के लिए ब्रेक लेता हूं। Āmāra pēśī prasārita karāra sahaja ānandakē āliṅgana karā ēbaṁ āmāra dinakē utsāhita karāra jan'ya gabhīra śbāsa nē'ōẏā. Finding balance amidst a busy day by taking a moment to step away,আমার মন পরিষ্কার করা এবং ফোকাস পুনরুদ্ধার করা। আপনে আপ কো চালানে-ফিরানে অর তাজি হাওয়া কা তোহাফা দেনে সে মেরে শেয়ারের মে ফির সে জান আ জাতে হ্যায় অর উৎপাদকতা কি এক নায়ে ভাবনা পায়দা হোতে হ্যায়। একটি অবসরভাবে হাঁটাহাঁটি করে আমার মন এবং শরীরকে সতেজ করে allowing my thoughts to wander and recharge.",neutral,bangla,Classify the given article as either positive or negative or mix sentiment.
"""एक बच्चे के चेहरे पर खुशी देखने जैसा कुछ नहीं है जब वे कोई उपहार या आश्चर्य खोलते हैं। यह मेरे दिल को गर्म कर देता है और मेरा दिन बना देता है।"" Ēkaṭi upahāra khōlāra sāthē sāthē ēkaṭi śiśura cōkha uttējanāẏa ālōkita ha'ōẏā dēkhā yē kē'u hatē pārē ēmana sabacēẏē hr̥daẏagrāhī abhijñatāgulira madhyē ēkaṭi The pure joy and excitement that children show  যখন উপহার বা বিস্ময় পায় তখন তারা যে বিশুদ্ধ আনন্দ তা সত্যিই সংক্রামক। 
জব মেন কিসে ভে বাচ্চা কে ছেরে পার খুশি অর রোশানে দেখাতা হুন তো মেন হাসি বিনা না রহ সাকাতা। হান মুঝে লাইফ কি প্রকৃতিক খুশিওঁ কি ইয়াদ দিলতা হ্যায় একটি উপহার খোলার সময় একটি শিশুর মুখে আনন্দ  and excitement on a child's face ",positive,bangla,Classify the given article as either positive or negative or mix sentiment.
"আমি আমার কৃতিত্বের জন্য একটি 
award পেয়েছি যা আমাকে অনেক thrilled and honoured feel করাচ্ছে ইট ফিলস আমেজিং টু  বি 
রিকোগনাইজড ফোর অল দ্যা হার্ডওয়ার্ক এন্ড  ডেডিকেশন আই হেভ পুট  ইনটু মাই ক্যারিয়ার यह पुरस्कार एक अनुस्मारक है कि दृढ़ता और जुनून वास्तव में भुगतान करते हैं। This award is not just a personal victory বরং এইটা আমার  mentors and colleagues দের  প্রতি শ্রদ্ধাও who  contributed to my success. main is pal ko sanjo kar 
rakhoonga aur ise apane jeevan ke sabhee pahalu mein prayaas jaaree rakhne ke lie prerana ke roop mein upayog karoonga.",positive,bangla,Classify the given article as either positive or negative or mix sentiment.
"चाहे मैं कितनी भी कोशिश कर लूं, ऐसा लगता है कि बिलों का भुगतान मेरी क्षमता से अधिक तेजी से होता जा रहा है। mujhe kiraane ka saamaan khareedane aur kirae ka bhugataan karane ke beech chayan karane se napharat hai, lekin main abhee vaheen par hoon it's frustrating to work full-timeএবং এখনও শেষ মেটানোর জন্য government assistance to make ends meet. আই নেভার ইমাজিন দ্যাট বিন ফিনেনসিয়ারলি স্টেবল উঠ বি সাচ অ্যানঅ্যাটেন্ডএবল গোল 
যখন আমি ক্রমাগত অর্থ নিয়ে চিন্তিত থাকি এবং  how I'm going to make ends meet.",negative,bangla,Classify the given article as either positive or negative or mix sentiment.
"আজ মেনে মেকা মেরি পুলিশ কলেজ কি দোস্তোকো এক রিইউনিয়ান কিয়া হে
 এতদিন পর আবার আমার school friends সাথে দেখা হল Seeing familiar faces and reminiscing with old friends atআমার পুনর্মিলনে  was an experience যা আমি কখনই ভুলব না
 पुराने दोस्तों को देखना और मेरे पुनर्मिलन पर हमारे साझा अनुभवों को याद करना ताजी हवा की सांस की तरह था - यह आश्चर्यजनक है कि हम इतने सालों बाद भी एक दूसरे को कितना कुछ सिखा और प्रेरित कर सकते हैं। purono bondhuder sathe puno sonjog kora abong amar punormilon a amader vhag kora sritigulike soron kora amon akti hridoygrahi obhigota silo.",positive,bangla,Classify the given article as either positive or negative or mix sentiment.
"টি ফিউচার সিমস স ব্ল্যাক এন্ড উন্সার টাইম, ই ডন'ত ইভেন কনো হোয়াট তো দমরে। প্রতিটি দিন একটি struggle মত মনে হয় যখন আপনি future কোন কিছুর উপর depend করতে পারবেন না I'm tired of living in ক্রমাগত ভয়ে  of what the ভবিষ্যত holds. जब सब कुछ इतना अनिश्चित और अस्थिर लगता है तो सकारात्मक बने रहना मुश्किल होता है। kaash kisee tarah kee gaarantee hotee ki cheejen theek ho jaengee, lekin mujhe pata hai ki yah sirph ichchhaadhaaree soch hai.",negative,bangla,Classify the given article as either positive or negative or mix sentiment.
"জব মে রিয়েলিটি কো সমঝা তব মেরি লিয়ে সব ইজি হো গয়া
 
""আমি আমার জীবনের এই new অধ্যায়ের সাথে সামঞ্জস্য করার সাথে সাথে reflection হতে এবং পুনরায় সংগঠিত হতে কিছু time নিচ্ছি।"" জীবন বিস্ময় পূর্ণ, and I'm working on cultivating the resilience to weather any storm ""परिवर्तन डरावना हो सकता है, लेकिन मैं प्रतिकूलता का सामना करने के लिए लचीलापन बनाने और ताकत खोजने पर काम कर रहा हूं।"" poriborton kokhonoi sohoj noy kintu er sathe asha path abong briddhir jonno ami kritoggo",negative,bangla,Classify the given article as either positive or negative or mix sentiment.
"কই কিতাব দিমাগমে না রাখতে মে বুকস্টোর ঘুমনে চলা গয়া
 
লাইব্রেরিতে new জেনার এবং writter অন্বেষণ করা। Exploring new জেনার এবং লেখকat the library.
 पुस्तकालय के शांत और शांत वातावरण का आनंद ले रहे हैं। 
library te tak browse kore akti bristir dine somoy pas",neutral,bangla,Classify the given article as either positive or negative or mix sentiment.
"আই এম অভার দা মন বিকজ আই কেম 
হোম টু অ আ কমপ্লিটলি ডেকোরেটেড
 রুম এস এ বার্থডে সারপ্রাইজ আমার নিজের চোখও বিশ্বাস করতে পারতেছিল না 
after seeing the room was transform to something  
ম্যাগাজিন বইয়ের রুমের মতন The amount of thought time and effort they
 put শুধুমাত্র এই  সারপ্রাইজ টাকে সফল 
করার জন্য means the world to me. मैं वास्तव में भाग्यशाली हूं कि उनके जैसे कुछ पागल दोस्त हैं yah nishchit roop se ek aisa janmadin 
hai jise main kabhee nahin bhooloonga!   ❤️",positive,bangla,Classify the given article as either positive or negative or mix sentiment.
"নর্দান লাইট কি তারা কোই ভি চিজ ইতনা খুবসুরত নেহি হোতা হে
 
""নর্দান lightলি ছিল শিল্পের কাজের মতো, আমার চোখের সামনেই চলমান এবং changable"" Feeling so grateful to have had the opportunity to see the Northern Lights - এটি একটি স্মৃতি যা আমি চিরকাল লালন করব ""जीवन में कुछ चीजें हैं जो वास्तव में आपकी सांस लेती हैं, और नॉर्दर्न लाइट्स निश्चित रूप से उनमें से एक हैं!"" ""uttor aloguli akti mridu onusarok silo je amra sobai onek boro mohabisser soto ongsho""",positive,bangla,Classify the given article as either positive or negative or mix sentiment.
"মনে হচ্ছে আজ আরেকটা গরমের দিন হবে Better bring your sunscreen!"" মেহ তো ইন্তেজার কার রাহিহু কাব বারেশ হগি ""मैंने सुना है कि इस सप्ताह के अंत में कुछ बारिश हो सकती है The weather sure can be unpredictable sometimes, তাই না? ai gorome mone hoitche chade jaia pani diya asi jno ghor thanda hoy",neutral,bangla,Classify the given article as either positive or negative or mix sentiment.
"
🔒 ন্যায়বিচার খোঁজা: Navigating Life's Legal Hurdles 🔒
 আজ, মাঝে এক কানুনী মালামালে মেইন এক প্রতিকূল ফায়সালা মিলে যায়, অর মাইন্ মিশ্রিত ভাবনাও সে জন্য রাহা হুঁ. जब परिणाम हमारी आशाओं और अपेक्षाओं के अनुरूप नहीं होते हैं तो यह बहुत ही निराशाजनक होता है। 🔒 It's essential to remember that the legal system is complex,এবং ফলাফল সবসময় আমাদের নিয়ন্ত্রণে থাকে না। 🔒 Āja, āmi sthitisthāpaka dām̐ṛiẏē āchi, jēnēchi yē n'yāẏabicārēra anbēṣaṇa ut'thāna-patanē bharā ēkaṭi yātrā.
",negative,bangla,Classify the given article as either positive or negative or mix sentiment.
"🌟 নিরাময় এবং পুনরুদ্ধারের জন্য Supporting Your Loved One's Journey 🌟 Today, I want to take a moment to address the deeply challenging experience of witnessing a loved one struggle with addiction or mental health challenges.   यह एक भावनात्मक रोलरकोस्टर हो सकता है, लेकिन यह जान लें कि आप अकेले नहीं हैं, और ऐसे तरीके हैं जिनसे आप समर्थन और प्रोत्साहन दे सकते हैं।  remember that addiction and mental health challenges are complex issues that সময়, ধৈর্য এবং পেশাদার সহায়তা প্রয়োজন৷ Ēkasāthē, āmarā ēkaṭi puṣṭikara paribēśa tairi karatē pāri yā nirāmaẏa ēbaṁ sthitisthāpakatā pracāra karē. 🌟#SupportingLovedOnes#Healing Journey#YouAreNotAlone",negative,bangla,Classify the given article as either positive or negative or mix sentiment.
"ইহা যাদবকে এক রাত হে ওর সায়ে দ কুছ নেহি কাহানী ভী একদিক দিয়ে আমি খুবই খুশি যে I will catch with all 
my friends এবং পুরনো দিনের  স্মৃতিচারণ করব On the other hand I am feeling a bit 
nervous about seeing people যাদের সাথে আমার অনেক বছর ধরে কোন কথা হয়নি।   यह विचार करना अवास्तविक है कि हम सभी को स्कूल में एक साथ रहते हुए कितना समय हो गया है। . Matroi Amar school er punormilon er dawat pelam",positive,bangla,Classify the given article as either positive or negative or mix sentiment.
"प्रतिकूल फैसले से तबाह, एक अन्यायपूर्ण कानूनी फैसले के बोझ से जूझ रहा है। Pratikūla śāsanēra pariprēkṣitē abicāra ēbaṁ biśbāsaghātakatāra anubhūti dbārā abhibhūta. This is not the outcome I was hoping for. এ থেকে এগিয়ে যাওয়া কঠিন হবে। এক অন্যায়পূর্ন কানুনী ফয়সাল কে সামনে ক্রোধ অর লাচারী কা মিশ্রন মাহাসুস কারণ. আমি আইনি ব্যবস্থায় বিশ্বাস করতাম, but now I feel let down and helpless",negative,bangla,Classify the given article as either positive or negative or mix sentiment.
"उपयोगकर्ता पुस्तिका के माध्यम से मेरे नए उपकरण की सुविधाओं और सेटिंग्स से परिचित होने का अवसर प्राप्त करना। Byabahārakārīra nirdēśikā paṛāra prakriẏāẏa niyukta ha'ōẏā, ēṭi jēnē ḍibhā'isaṭira sāthē āmāra abhijñatā bāṛābē. Appreciating the comprehensive user guide that accompanies my new appliance, এটির ফাংশনগুলিকে নেভিগেট করা সহজ করে তোলে। এক উপায়োগকর্তা পুস্তিকা বানানে মেইন কিএ গায়ে প্রয়াস কী সারাহানা কারণে জিসকা পালন করেন অর সামাজ্হান আজান হয়. আমার নতুন ডিভাইসের ব্যবহারকারীর ম্যানুয়াল পড়ার জন্য সময় নিচ্ছি, ensuring I understand its features and functionalities.",neutral,bangla,Classify the given article as either positive or negative or mix sentiment.
"আজ মেনে পূরে সাপ্তাহ পূরে কি জানে ওয়ালে করিওঁ আর ক্যারিওঁ কি এক সুচি বানাই, আর ইয়াহ সুবিচারিত যোজনা আর উৎপাদকতা কী শক্তি কা স্মরণ থা। এমনকি যখন আমরা overwhelmed or busy বোধ করতে পারি, একটি সুস্পষ্ট পরিকল্পনা এবং অগ্রাধিকারের তালিকা থাকা আমাদের focus থাকতে এবং আমাদের লক্ষ্য অর্জনে সহায়তা করতে পারে। I am grateful for the opportunity to prioritize my সময় এবং শক্তি towards the things that matter most to me. यहाँ स्पष्ट लक्ष्य निर्धारित करके और उनके प्रति कार्रवाई करके उत्पादकता और जानबूझकर जीने की शक्ति को गले लगाना है। Āsuna āmādēra jībanē ātma-yatna ēbaṁ bhārasāmyakē agrādhikāra dē'ōẏā abyāhata rākhi, pāśāpāśi uddēśya ēbaṁ abhiprāẏēra sāthē āmādēra sbapna ēbaṁ lakṣyagulira dikē pracēṣṭā cāliẏē yā'i.",neutral,bangla,Classify the given article as either positive or negative or mix sentiment.
"আজ হামনে হামারা চেকআপ কিয়া হ্যায় হাম পুরি তরাছে সুনকে আচ্ছা লাগা
 কিছু উদ্বেগজনক moment পরে, আমি স্বাস্থ্যের একটি পরিষ্কার bill পেয়ে কৃতজ্ঞ। Just got the best news possible - all my medical tests came back clear.অবিশ্বাস্যভাবে ধন্য লাগছে।
 अपनी नई भतीजी को अपनी बाहों में पकड़कर, मैं प्यार और आश्चर्य की जबरदस्त भावना महसूस किए बिना नहीं रह सकता। ati akti dirgho somoyer moddhe ami shunechi sera khobr ami sustho abong sukhi!",positive,bangla,Classify the given article as either positive or negative or mix sentiment.
कामों और कार्यों की विस्तृत सूची बनाकर सप्ताह के लिए एक गेम प्लान बनाएं। soochiyon kee shakti ko gale lagaana tab hota hai jab main un kaaryon aur kaaryon ko likhata hoon jin par mujhe dhyaan dene kee aavashyakata hotee hai. Finding peace of mind by knowing that আমার কাছে কাজ এবং কাজগুলির একটি পরিষ্কার রোডম্যাপ রয়েছে টেকিং আ প্রোএক্টিভে এপ্রোচ তো ম্যানেজিং ময় টাইম বি ক্রিটিং আ লিস্ট অফ বেড়ান্ডস এন্ড টাস্কস. তালিকার শক্তিকে আলিঙ্গন করা as I jot down the errands and tasks that need my attention.,neutral,bangla,Classify the given article as either positive or negative or mix sentiment.
"আজ মেরি সাবসে খাস তোর কি সাথ ডিনার পে গ্যায় থি
 এখনো খাবারই খুব best লাগে যদি তোমার partner তোমার সাথে থাকে There's nothing quite like the feeling  আপনার প্রিয় খাবার উপভোগwith the people who make your heart sing.
  अपने बच्चे को अपना पहला कदम उठाते हुए देखना एक ऐसा पल था जिसने मुझे याद दिलाया कि माता-पिता बनना कितना अविश्वसनीय है। amar priyo restoray mohan companir sathe amar priyo khabar upovhog kora amar diner akti sottikarer highlight silo.",positive,bangla,Classify the given article as either positive or negative or mix sentiment.
"আজ বহত দিনো বাদ হামনে অফিস চাহতে ওয়াক্ত বাসে সে গায় ঠি
 
আমি always public পাবলিক ট্রান্সপোর্টে আকর্ষণীয় লোকেদের সাথে দেখা করি। Waiting for the bus in the rain is never fun, তবে আমি বেঁচে যাব।
 सार्वजनिक परिवहन एक परेशानी हो सकती है, लेकिन यह पर्यावरण के लिए बेहतर है। 
trene chore amake drisso dekhar sujog day",neutral,bangla,Classify the given article as either positive or negative or mix sentiment.
"बस पोस्ट ऑफिस में कतार में इंतज़ार कर रही थी... किसे पता था कि सब्र की ऐसी परीक्षा होगी। jab aap post ophis mein lain mein khade hon, to yah sochana mushkil nahin hai ki aisa karane ka koee behatar tareeka hai ya nahin। The post office is always busy,কিন্তু কোন না কোনভাবে লাইন শামুকের গতিতে চলে। টি ব্যাঙ্ক লাইন ২ টি পারফেক্ট টাইম তো ক্যাচ উপ অং এমাইলস ওর স্ক্রল থ্রু সোশ্যাল মিডিয়া. আপনি যখন পোস্ট অফিসে লাইনে আটকে থাকেন,time seems to stand still.",neutral,bangla,Classify the given article as either positive or negative or mix sentiment.
বাস সবসে আচ্ছা মিঠাই খাই হে স্বাদ পুরোপুরি balanced ছিল এবং উপস্থাপনা gorgeous ছিল I could really taste the দক্ষতা এবং আবেগ that went into making it.   इस तरह के क्षण मुझे याद दिलाते हैं कि मुझे अच्छा खाना इतना पसंद क्यों है। Ami itimiddhei amar next soforer plan korchi jaate abar ei taste nite pari,positive,bangla,Classify the given article as either positive or negative or mix sentiment.
It's been a long time আমি আবার train এ উঠেছি कुछ आवश्यक नींद को पकड़ने के अवसर के रूप में ट्रेन की सवारी का उपयोग करना। টেকিং টি বাস তো গ শপিং ওর রান বেড়ান্ডস. এখন আর bus  পা রাখারও space  হয় না saarvajanik parivahan kee savaaree karate samay aapake saamane aane vaale logon kee vividhata kee saraahana karana.,neutral,bangla,Classify the given article as either positive or negative or mix sentiment.
"ইম ফিলিং রিয়েলি এন্ড লনলি রাইট নাউ। অন্যদের থেকে সংযোগ বিচ্ছিন্ন এবং আমাদের কাছে কোনো support system নেই এমন feelings মধ্য দিয়ে যাওয়া কঠিন। It's a reminder of how important it is to cultivate অর্থপূর্ণ সম্পর্ক and to reach out for help when we need it. मैं अपने प्रियजनों के साथ जुड़े रहने और नए सामाजिक अवसरों की तलाश करने की पूरी कोशिश कर रहा हूं, लेकिन यह एक चुनौतीपूर्ण स्थिति है। yahaan ummeed hai ki main aane vaale dinon mein aur adhik juda hua aur samarthit mahasoos karane ke tareeke dhoondh sakata hoon.""",negative,bangla,Classify the given article as either positive or negative or mix sentiment.
